index,budget,genres,homepage,id,keywords,original_language,original_title,overview,popularity,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,vote_average,vote_count,cast,crew,director
10,160000000,"Action,Adventure,Science Fiction",http://www.guardiansofthegalaxy.com,118340,"marvel comic,space,superhero,based on comic book,talking raccoon",en,Guardians of the Galaxy,"Light years from Earth, 26 years after being abducted, Peter Quill finds himself the prime target of a manhunt after discovering an orb wanted by Ronan the Accuser.",134567890,Marvel Studios,US,2014-08-01,773328629,121,en,Released,All heroes start somewhere.,Guardians of the Galaxy,7.9,10500,"Chris Pratt,Zoe Saldana,Dave Bautista,Vin Diesel,Bradley Cooper","Tyler Bates,Ben Davis,Fred Raskin",James Gunn
11,185000000,"Action,Adventure,Science Fiction",http://www.doctorstrenge.com,284052,"marvel comic,superhero,based on comic book,magic,sorcerer",en,Doctor Strange,"After his career is destroyed, a brilliant but arrogant surgeon gets a new lease on life when a sorcerer takes him under her wing and trains him to defend the world against evil.",145678901,Marvel Studios,US,2016-11-04,677718395,115,en,Released,The impossibilities are endless.,Doctor Strange,7.2,9800,"Benedict Cumberbatch,Chiwetel Ejiofor,Rachel McAdams,Benedict Wong,Mads Mikkelsen","Michael Giacchino,Ben Davis,Wyatt Smith",Scott Derrickson
12,170000000,"Action,Adventure,Science Fiction",http://www.xmendaysoffuturepast.com,127585,"marvel comic,superhero,based on comic book,mutant,time travel",en,X-Men: Days of Future Past,The ultimate X-Men ensemble fights a war for the survival of the species across two time periods as they join forces with their younger selves in an epic battle.,178901234,"Twentieth Century Fox Film Corporation,Marvel Entertainment,Bad Hat Harry Productions","US,GB",2014-05-23,747862775,132,"en,vi,fr",Released,To save the future they must alter the past.,X-Men: Days of Future Past,7.5,8700,"Hugh Jackman,James McAvoy,Michael Fassbender,Jennifer Lawrence,Nicholas Hoult","John Ottman,Newton Thomas Sigel,John Ottman",Bryan Singer
13,195000000,"Action,Adventure,Science Fiction",http://www.jurassicworld.com,135397,"monster,dna,tyrannosaurus rex,velociraptor,island",en,Jurassic World,"Twenty-two years after the events of Jurassic Park, Isla Nublar now features a fully functioning dinosaur theme park, Jurassic World, as originally envisioned by John Hammond.",418708552,"Universal Studios,Amblin Entertainment,Legendary Pictures",US,2015-06-09,1513528810,124,en,Released,The park is open.,Jurassic World,6.5,8662,"Chris Pratt,Bryce Dallas Howard,Irrfan Khan,Vincent D'Onofrio,Nick Robinson","Michael Giacchino,John Schwartzman,Derek Ambrosi",Colin Trevorrow
14,175000000,"Action,Science Fiction,Thriller",http://www.terminator.com,87101,"artificial intelligence,cyborg,post-apocalyptic,time travel,sequel",en,Terminator Genisys,"The year is 2029. John Connor, leader of the resistance continues the war against the machines. At the Los Angeles offensive, John's fears of the unknown future begin to emerge when TECOM spies reveal a new plot by SkyNet.",89123456,"Paramount Pictures,Skydance Media",US,2015-07-01,440603537,126,en,Released,Reset the future,Terminator Genisys,5.8,5200,"Arnold Schwarzenegger,Jason Clarke,Emilia Clarke,Jai Courtney,J.K. Simmons","Lorne Balfe,Kramer Morgenthau,Roger Barton",Alan Taylor
15,150000000,"Action,Adventure,Science Fiction",http://www.marvel.com/antman,102899,"marvel comic,superhero,based on comic book,heist,shrinking",en,Ant-Man,"Armed with the astonishing ability to shrink in scale but increase in strength, con-man Scott Lang must embrace his inner-hero and help his mentor, Dr. Hank Pym.",167234567,Marvel Studios,US,2015-07-17,519311965,117,en,Released,Heroes don't get any bigger.,Ant-Man,7.1,8900,"Paul Rudd,Michael Douglas,Evangeline Lilly,Corey Stoll,Bobby Cannavale","Christophe Beck,Russell Carpenter,Dan Lebental",Peyton Reed
16,190000000,"Action,Adventure,Science Fiction",http://www.amazingspiderman2.com,102651,"marvel comic,superhero,based on comic book,sequel,spider",en,The Amazing Spider-Man 2,"For Peter Parker, life is busy. Between taking out the bad guys as Spider-Man and spending time with the person he loves, Gwen Stacy, high school graduation cannot come quickly enough.",156345678,"Columbia Pictures,Marvel Entertainment",US,2014-05-02,708982323,142,en,Released,His greatest battle begins.,The Amazing Spider-Man 2,6.5,6800,"Andrew Garfield,Emma Stone,Jamie Foxx,Dane DeHaan,Colm Feore","Hans Zimmer,Dan Mindel,Pietro Scalia",Marc Webb
17,165000000,"Action,Thriller,Adventure",http://www.fastandfurious.com,168259,"street racing,heist,car,sequel,action hero",en,Furious 7,Deckard Shaw seeks revenge against Dominic Toretto and his family for the death of his brother.,145456789,"Universal Pictures,Original Film,Media Rights Capital,One Race Productions",US,2015-04-03,1516045911,137,en,Released,Vengeance hits home,Furious 7,7.3,6900,"Vin Diesel,Paul Walker,Dwayne Johnson,Michelle Rodriguez,Tyrese Gibson","Brian Tyler,Stephen F. Windon,Christian Wagner",James Wan
18,155000000,"Animation,Family,Adventure",http://www.pixar.com/insideout,150540,"animation,pixar,emotions,memories,growing up",en,Inside Out,"Growing up can be a bumpy road, and it's no exception for Riley, who is uprooted from her Midwest life when her father starts a new job in San Francisco.",178567890,"Pixar Animation Studios,Walt Disney Pictures",US,2015-06-19,857611174,95,en,Released,Meet the little voices inside your head.,Inside Out,7.9,11200,"Amy Poehler,Phyllis Smith,Richard Kind,Bill Hader,Lewis Black","Michael Giacchino,Patrick Lin,Kevin Nolting",Pete Docter
19,180000000,"Action,Adventure,Science Fiction",http://www.xmenapocalypse.com,246655,"marvel comic,superhero,based on comic book,mutant,apocalypse",en,X-Men: Apocalypse,"After the re-emergence of the world's first mutant, world-destroyer Apocalypse, the X-Men must unite to defeat his extinction level plan.",134678901,"Twentieth Century Fox Film Corporation,Marvel Entertainment,Bad Hat Harry Productions","US,GB,CA",2016-05-27,543934787,144,en,Released,Only the strong will survive.,X-Men: Apocalypse,6.8,7200,"James McAvoy,Michael Fassbender,Jennifer Lawrence,Oscar Isaac,Nicholas Hoult","John Ottman,Simon Kinberg,John Ottman",Bryan Singer
20,170000000,"Action,Science Fiction,Adventure",http://www.madmaxfuryroad.com,76341,"post-apocalyptic,desert,dystopia,chase,survival",en,Mad Max: Fury Road,"An apocalyptic story set in the furthest reaches of our planet, in a stark desert landscape where humanity is broken.",167789012,"Village Roadshow Pictures,Kennedy Miller Productions","AU,US",2015-05-15,378858340,120,en,Released,What a Lovely Day.,Mad Max: Fury Road,7.6,11500,"Tom Hardy,Charlize Theron,Nicholas Hoult,Hugh Keays-Byrne,Josh Helman","Junkie XL,John Seale,Margaret Sixel",George Miller
21,160000000,"Action,Adventure,Science Fiction",http://www.starwars.com,330459,"space opera,rebel,stormtrooper,resistance,lightsaber",en,Star Wars: The Rise of Skywalker,"The surviving Resistance faces the First Order once again as the journey of Rey, Finn and Poe Dameron continues. With the power and knowledge of generations behind them, the final battle begins.",189890123,"Lucasfilm,Walt Disney Pictures",US,2019-12-20,1074144248,142,en,Released,The saga will end. The story lives forever.,Star Wars: The Rise of Skywalker,6.5,7800,"Daisy Ridley,Adam Driver,John Boyega,Oscar Isaac,Carrie Fisher","John Williams,Dan Mindel,Maryann Brandon",J.J. Abrams
22,185000000,"Action,Adventure,Science Fiction",http://www.marvel.com/blackpanther,284054,"marvel comic,superhero,based on comic book,sequel,wakanda",en,Black Panther,"T'Challa, the King of Wakanda, rises to the throne in the isolated, technologically advanced African nation, but his claim is challenged by a vengeful outsider.",198901234,Marvel Studios,US,2018-02-16,1346913161,134,en,Released,Long live the king.,Black Panther,7.3,13200,"Chadwick Boseman,Michael B. Jordan,Lupita Nyong'o,Danai Gurira,Martin Freeman","Ludwig Göransson,Rachel Morrison,Michael P. Shawver",Ryan Coogler
23,175000000,"Action,Adventure,Fantasy",http://www.wonderwomanfilm.com,297762,"dc comics,superhero,based on comic book,warrior,amazon",en,Wonder Woman,An Amazon princess comes to the world of Man in the grips of the First World War to confront the forces of evil and bring an end to human conflict.,178012345,"Warner Bros,DC Entertainment,RatPac-Dune Entertainment",US,2017-06-02,821847012,141,en,Released,Power. Grace. Wisdom. Wonder.,Wonder Woman,7.2,10800,"Gal Gadot,Chris Pine,Robin Wright,Danny Huston,David Thewlis","Rupert Gregson-Williams,Matthew Jensen,Martin Walsh",Patty Jenkins
24,165000000,"Action,Adventure,Science Fiction",http://www.spidermanhomecoming.com,315635,"marvel comic,superhero,based on comic book,high school,spider",en,Spider-Man: Homecoming,"Following the events of Captain America: Civil War, Peter Parker, with the help of his mentor Tony Stark, tries to balance his life as an ordinary high school student.",167123456,"Columbia Pictures,Marvel Studios,Pascal Pictures",US,2017-07-07,880166924,133,en,Released,Homework can wait. The city can't.,Spider-Man: Homecoming,7.4,12500,"Tom Holland,Michael Keaton,Robert Downey Jr.,Marisa Tomei,Jon Favreau","Michael Giacchino,Salvatore Totino,Dan Lebental",Jon Watts
25,155000000,"Science Fiction,Action,Thriller",http://www.bladerunner2049.com,335984,"future,dystopia,android,detective,los angeles",en,Blade Runner 2049,"Thirty years after the events of the first film, a new blade runner, LAPD Officer K, unearths a long-buried secret that has the potential to plunge what's left of society into chaos.",156234567,"Warner Bros,Columbia Pictures,Alcon Entertainment","US,GB,CA",2017-10-06,259239658,164,en,Released,The key to the future is finally unearthed.,Blade Runner 2049,7.6,10200,"Ryan Gosling,Harrison Ford,Ana de Armas,Sylvia Hoeks,Robin Wright","Hans Zimmer,Roger Deakins,Joe Walker",Denis Villeneuve
26,180000000,"Action,Adventure,Science Fiction",http://www.transformerslastknight.com,335988,"based on toys,sequel,robot,alien invasion,transformers",en,Transformers: The Last Knight,"Optimus Prime finds his dead home planet, Cybertron, in which he comes to find he was responsible for its destruction.",145345678,"Paramount Pictures,Hasbro,Di Bonaventura Pictures","US,CN",2017-06-21,605425157,154,en,Released,Two worlds collide. One survives.,Transformers: The Last Knight,6.1,5900,"Mark Wahlberg,Anthony Hopkins,Josh Duhamel,Laura Haddock,Isabela Moner","Steve Jablonsky,Jonathan Sela,Adam Gerstel",Michael Bay
27,170000000,"Action,Adventure,Science Fiction",http://www.jurassicworld.com,351286,"sequel,dinosaur,island,theme park,tyrannosaurus rex",en,Jurassic World: Fallen Kingdom,"Three years after the demise of Jurassic World, a volcanic eruption threatens the remaining dinosaurs on the isla Nublar.",167456789,"Universal Pictures,Amblin Entertainment,Legendary Pictures",US,2018-06-22,1309484461,128,en,Released,Life finds a way.,Jurassic World: Fallen Kingdom,6.6,8100,"Chris Pratt,Bryce Dallas Howard,Rafe Spall,Justice Smith,Daniella Pineda","Michael Giacchino,Oscar Faura,Bernat Vilaplana",J.A. Bayona
28,175000000,"Action,Science Fiction,Adventure",http://www.readyplayerone.com,333339,"virtual reality,video game,dystopia,corporation,future",en,Ready Player One,"When the creator of a popular video game system dies, a virtual contest is created to compete for his fortune.",178567890,"Warner Bros,Village Roadshow Pictures,DreamWorks Pictures,Amblin Entertainment",US,2018-03-29,582890172,140,en,Released,A better reality awaits.,Ready Player One,7.6,10900,"Tye Sheridan,Olivia Cooke,Ben Mendelsohn,Lena Waithe,T.J. Miller","Alan Silvestri,Janusz Kamiński,Sarah Broshar",Steven Spielberg
29,190000000,"Action,Adventure,Science Fiction",http://www.marvel.com/thor,10195,"marvel comic,norse mythology,superhero,based on comic book,thor",en,Thor,"Against his father Odin's will, The Mighty Thor - a powerful but arrogant warrior god - recklessly reignites an ancient war.",156678901,Marvel Studios,US,2011-05-06,449326618,115,en,Released,Courage is immortal.,Thor,6.8,9400,"Chris Hemsworth,Natalie Portman,Tom Hiddleston,Anthony Hopkins,Stellan Skarsgård","Patrick Doyle,Haris Zambarloukos,Paul Rubell",Kenneth Branagh
30,185000000,"Action,Adventure,Science Fiction",http://www.marvel.com/captainamericawintersoldier,100402,"marvel comic,superhero,based on comic book,sequel,shield",en,Captain America: The Winter Soldier,"After the cataclysmic events in New York with The Avengers, Steve Rogers, aka Captain America is living quietly in Washington, D.C. trying to adjust to the modern world.",167789012,Marvel Studios,US,2014-04-04,714264267,136,en,Released,In heroes we trust.,Captain America: The Winter Soldier,7.7,11300,"Chris Evans,Scarlett Johansson,Sebastian Stan,Anthony Mackie,Samuel L. Jackson","Henry Jackman,Trent Opaloch,Jeffrey Ford","Anthony Russo,Joe Russo"
31,175000000,"Action,Adventure,Science Fiction",http://www.guardiansofthegalaxy.com,283995,"marvel comic,space,superhero,based on comic book,sequel",en,Guardians of the Galaxy Vol. 2,The Guardians must fight to keep their newfound family together as they unravel the mysteries of Peter Quill's true parentage.,178890123,Marvel Studios,US,2017-05-05,863756051,136,en,Released,Obviously.,Guardians of the Galaxy Vol. 2,7.6,10700,"Chris Pratt,Zoe Saldana,Dave Bautista,Vin Diesel,Bradley Cooper","Tyler Bates,Henry Braham,Fred Raskin",James Gunn
32,160000000,"Action,Adventure,Science Fiction",http://www.marvel.com/avengers,299536,"marvel comic,superhero,based on comic book,sequel,alien invasion",en,Avengers: Age of Ultron,"When Tony Stark tries to jumpstart a dormant peacekeeping program, things go awry and Earth's Mightiest Heroes are put to the ultimate test.",134901234,Marvel Studios,US,2015-05-01,1405403694,141,en,Released,A New Age Has Come.,Avengers: Age of Ultron,7.3,6767,"Robert Downey Jr.,Chris Hemsworth,Mark Ruffalo,Chris Evans,Scarlett Johansson","Danny Elfman,Ben Davis,Jeffrey Ford",Joss Whedon
33,170000000,"Action,Crime,Thriller",http://www.suicidesquad.com,297761,"dc comics,superhero,based on comic book,task force,anti hero",en,Suicide Squad,A secret government agency recruits some of the most dangerous incarcerated super-villains to form a defensive task force.,145012345,"Warner Bros,DC Entertainment,RatPac-Dune Entertainment,Atlas Entertainment",US,2016-08-05,746846894,123,en,Released,Worst. Heroes. Ever.,Suicide Squad,6.0,12900,"Will Smith,Jared Leto,Margot Robbie,Joel Kinnaman,Viola Davis","Steven Price,Roman Vasyanov,John Gilroy",David Ayer
34,165000000,"Action,Adventure,Science Fiction",http://www.pacificrim.com,68726,"monster,alien,mecha,robot,giant monster",en,Pacific Rim,"When legions of monstrous creatures, known as Kaiju, started rising from the sea, a war began that would take millions of lives.",156123456,"Legendary Pictures,Warner Bros,Double Dare You Productions",US,2013-07-12,411002906,131,"en,ja,zh",Released,To fight monsters we created monsters.,Pacific Rim,6.9,8300,"Charlie Hunnam,Idris Elba,Rinko Kikuchi,Charlie Day,Burn Gorman","Ramin Djawadi,Guillermo Navarro,Peter Amundson",Guillermo del Toro
35,175000000,"Action,Science Fiction,Thriller",http://www.edgeoftomorrow.com,137113,"time loop,alien invasion,soldier,future,combat",en,Edge of Tomorrow,"A soldier fighting aliens gets to relive the same day over and over again, the day restarting every time he dies.",167234567,"Warner Bros,Village Roadshow Pictures,RatPac-Dune Entertainment","US,GB",2014-06-06,370541256,113,en,Released,Live. Die. Repeat.,Edge of Tomorrow,7.6,9700,"Tom Cruise,Emily Blunt,Bill Paxton,Brendan Gleeson,Jonas Armstrong","Christophe Beck,Dion Beebe,James Herbert",Doug Liman
36,180000000,"Action,Adventure,Science Fiction",http://www.startrek.com,188927,"space,sequel,alien,spaceship,star trek",en,Star Trek Beyond,"The USS Enterprise crew explores the furthest reaches of uncharted space, where they encounter a mysterious new enemy who puts them and everything the Federation stands for to the test.",178345678,"Paramount Pictures,Skydance Media,Bad Robot Productions,Alibaba Pictures","US,CN",2016-07-22,343471006,122,en,Released,The final frontier...and beyond.,Star Trek Beyond,7.0,6700,"Chris Pine,Zachary Quinto,Karl Urban,Zoe Saldana,Simon Pegg","Michael Giacchino,Stephen F. Windon,Greg D'Auria",Justin Lin
37,155000000,"Action,Adventure,Fantasy",http://www.kongskullisland.com,293167,"helicopter,island,expedition,soldier,giant monster",en,Kong: Skull Island,"Explore the mysterious and dangerous home of the king of the apes as a team of explorers ventures deep inside the treacherous, primordial island.",156456789,"Legendary Pictures,Warner Bros,Tencent Pictures","US,CN",2017-03-10,566652812,118,en,Released,All hail the king.,Kong: Skull Island,6.5,7900,"Tom Hiddleston,Samuel L. Jackson,Brie Larson,John C. Reilly,John Goodman","Henry Jackman,Larry Fong,Richard Pearson",Jordan Vogt-Roberts
38,170000000,"Action,Adventure,Science Fiction",http://www.themummy.com,282035,"mummy,monster,ancient egypt,reboot,curse",en,The Mummy,"Though safely entombed in a crypt deep beneath the unforgiving desert, an ancient queen whose destiny was unjustly taken from her is awakened in our current day.",145567890,"Universal Pictures,Secret Hideout,Perfect World Pictures",US,2017-06-09,409231607,110,en,Released,Welcome To A New World of Gods And Monsters.,The Mummy,5.4,5100,"Tom Cruise,Sofia Boutella,Annabelle Wallis,Jake Johnson,Courtney B. Vance","Brian Tyler,Ben Seresin,Paul Hirsch",Alex Kurtzman
39,165000000,"Action,Thriller,Crime",http://www.babydriver.com,339403,"car chase,heist,getaway driver,music,crime",en,Baby Driver,"After being coerced into working for a crime boss, a young getaway driver finds himself taking part in a heist doomed to fail.",167678901,"TriStar Pictures,Media Rights Capital,Working Title Films","US,GB",2017-06-28,226945087,113,en,Released,All you need is one killer track.,Baby Driver,7.5,10400,"Ansel Elgort,Kevin Spacey,Lily James,Jon Hamm,Jamie Foxx","Steven Price,Bill Pope,Jonathan Amos",Edgar Wright
40,180000000,"Action,Science Fiction,Thriller",http://www.alitabattleangel.com,399579,"cyborg,based on manga,post-apocalyptic,female warrior,bounty hunter",en,Alita: Battle Angel,"When Alita awakens with no memory of who she is in a future world she does not recognize, she is taken in by Ido, a compassionate doctor.",156789012,"Twentieth Century Fox,Lightstorm Entertainment,Troublemaker Studios",US,2019-02-14,404852543,122,en,Released,An angel falls. A warrior rises.,Alita: Battle Angel,7.2,7600,"Rosa Salazar,Christoph Waltz,Jennifer Connelly,Mahershala Ali,Ed Skrein","Tom Holkenborg,Bill Pope,Stephen E. Rivkin",Robert Rodriguez
41,200000000,"Action,Adventure,Science Fiction",http://www.marvel.com/avengers,299534,"marvel comic,superhero,based on comic book,sequel,sacrifice",en,Avengers: Infinity War,"As the Avengers and their allies have continued to protect the world from threats too large for any one hero to handle, a new danger has emerged from the cosmic shadows: Thanos.",210345678,Marvel Studios,US,2018-04-27,2048359754,149,en,Released,An entire universe. Once and for all.,Avengers: Infinity War,8.3,20400,"Robert Downey Jr.,Chris Hemsworth,Mark Ruffalo,Chris Evans,Scarlett Johansson","Alan Silvestri,Trent Opaloch,Jeffrey Ford","Anthony Russo,Joe Russo"
42,356000000,"Action,Adventure,Science Fiction",http://www.marvel.com/avengers,299536,"marvel comic,superhero,based on comic book,time travel,sacrifice",en,Avengers: Endgame,"After the devastating events of Avengers: Infinity War, the universe is in ruins due to the efforts of the Mad Titan, Thanos. With the help of remaining allies, the Avengers must assemble once more.",234567890,Marvel Studios,US,2019-04-26,2797800564,181,en,Released,Avenge the fallen.,Avengers: Endgame,8.4,24500,"Robert Downey Jr.,Chris Evans,Mark Ruffalo,Chris Hemsworth,Scarlett Johansson","Alan Silvestri,Trent Opaloch,Jeffrey Ford","Anthony Russo,Joe Russo"
43,150000000,"Action,Crime,Thriller",http://www.thedarkknightmovie.com,155,"dc comics,crime fighter,joker,superhero,based on comic book",en,The Dark Knight,"Batman raises the stakes in his war on crime. With the help of Lt. Jim Gordon and District Attorney Harvey Dent, Batman sets out to dismantle the remaining criminal organizations that plague the streets.",198765432,"Legendary Pictures,Warner Bros,DC Entertainment,Syncopy",US,2008-07-18,1004558444,152,en,Released,Why So Serious?,The Dark Knight,9.0,28300,"Christian Bale,Heath Ledger,Aaron Eckhart,Michael Caine,Maggie Gyllenhaal","Hans Zimmer,Wally Pfister,Lee Smith",Christopher Nolan
44,160000000,"Adventure,Drama,Science Fiction",http://www.interstellarmovie.com,157336,"wormhole,nasa,time travel,space,father daughter relationship",en,Interstellar,The adventures of a group of explorers who make use of a newly discovered wormhole to surpass the limitations on human space travel and conquer the vast distances involved in an interstellar voyage.,189234567,"Legendary Pictures,Syncopy,Lynda Obst Productions","US,GB",2014-11-07,677471339,169,en,Released,Mankind was born on Earth. It was never meant to die here.,Interstellar,8.6,32500,"Matthew McConaughey,Anne Hathaway,Jessica Chastain,Bill Irwin,Ellen Burstyn","Hans Zimmer,Hoyte van Hoytema,Lee Smith",Christopher Nolan
45,170000000,"Drama,Romance,Thriller",http://www.titanicmovie.com,597,"ship,ocean,disaster,romance,iceberg",en,Titanic,"101-year-old Rose DeWitt Bukater tells the story of her life aboard the Titanic, 84 years later. A young Rose boards the ship with her mother and fiancé. Meanwhile, Jack Dawson and Fabrizio De Rossi win third-class tickets aboard the ship.",176543210,"Paramount Pictures,Twentieth Century Fox,Lightstorm Entertainment",US,1997-12-19,2187463944,194,en,Released,Nothing on Earth could come between them.,Titanic,7.9,22100,"Leonardo DiCaprio,Kate Winslet,Billy Zane,Kathy Bates,Frances Fisher","James Horner,Russell Carpenter,Conrad Buff",James Cameron
46,185000000,"Action,Adventure,Science Fiction",http://www.marvel.com/spiderman,429617,"marvel comic,superhero,based on comic book,multiverse,spider",en,Spider-Man: Far From Home,"Peter Parker and his friends go on a summer trip to Europe. However, they will hardly be able to rest - Peter will have to agree to help Nick Fury uncover the mystery of creatures that cause natural disasters and destruction throughout the continent.",178654321,"Columbia Pictures,Marvel Studios,Pascal Pictures",US,2019-07-02,1131927996,129,en,Released,It's time to step up.,Spider-Man: Far From Home,7.5,13800,"Tom Holland,Samuel L. Jackson,Jake Gyllenhaal,Marisa Tomei,Jon Favreau","Michael Giacchino,Matthew J. Lloyd,Dan Lebental",Jon Watts
